id;DB;LT;PCS;TCFM;TCZM;TMVM;DRA;RGC;RGNC;PCSC;TCFC;TMVC;TCZC;RCF;
51;577;29,68;4641;11,53;0,26;88,21;415;33,85;16,56;6974;71,11;28,35;0,54;28,89;
52;605;25,44;4661;12,95;0,10;86,95;429;35,68;17,05;7192;72,00;27,54;0,45;28,00;
53;604;28,39;4634;13,52;0,15;86,33;477;34,05;17,53;6841;74,32;25,05;0,64;25,68;
54;597;30,96;4647;14,17;0,13;85,70;445;34,12;17,60;7004;71,02;28,51;0,47;28,98;
55;549;31,58;4650;13,50;0,18;86,31;413;33,63;16,89;7324;71,37;28,08;0,55;28,63;
56;552;31,76;4607;15,15;0,15;84,70;352;33,88;17,94;6974;68,04;31,63;0,32;31,96;
57;564;30,32;4628;13,01;0,20;86,79;416;34,43;17,31;7073;72,56;26,70;0,74;27,44;
58;612;27,29;4681;15,55;0,03;84,41;381;36,13;16,14;6845;68,88;30,85;0,26;31,12;
59;626;29,83;4661;15,69;0,16;84,15;382;35,57;18,22;7069;70,52;29,11;0,37;29,48;
60;594;31,33;4700;15,32;0,10;84,58;383;35,22;16,84;7146;71,70;28,12;0,18;28,30;
61;577;27,98;4657;13,84;0,23;85,93;409;35,78;16,78;6846;70,74;29,03;0,23;29,26;
62;587;29,33;4676;13,73;0,15;86,12;437;35,84;17,05;6785;72,76;26,90;0,34;27,24;
63;582;28,66;4666;13,79;0,19;86,02;380;35,72;16,52;6907;68,73;31,15;0,11;31,27;
64;536;30,30;4717;15,91;0,06;84,03;342;34,93;23,91;7377;73,86;25,57;0,57;25,79;
65;522;31,30;4706;16,36;0,08;83,55;308;33,52;25,27;7440;75,14;24,29;0,57;25,19;
66;567;32,24;4628;16,11;0,15;83,74;326;34,09;24,71;7431;75,14;24,17;0,69;25,62;
67;550;28,87;4541;15,46;0,15;84,39;362;33,53;18,79;7376;73,67;26,12;0,21;24,70;
68;541;30,84;4552;15,77;0,15;84,08;375;35,19;19,82;7344;72,62;27,07;0,31;25,55;
69;537;30,53;4629;13,61;0,14;86,25;364;35,24;17,91;7431;73,08;26,67;0,25;25,76;
70;493;29,72;4610;15,78;0,12;84,10;363;34,03;24,79;7546;73,84;25,91;0,25;25,13;
71;495;29,65;4527;17,33;0,06;82,61;385;33,47;18,33;7552;73,68;26,06;0,26;24,66;
72;498;28,24;4521;16,12;0,05;83,82;364;33,01;20,86;7630;73,99;25,60;0,41;24,43;
73;557;28,70;4612;17,38;0,24;82,39;360;34,00;20,90;7435;75,60;24,10;0,30;25,70;
74;574;28,49;4457;17,34;0,23;82,43;371;34,40;20,02;7350;75,90;23,60;0,40;26,10;
75;560;26,91;4619;16,72;0,21;83,07;351;34,20;20,41;7388;75,30;24,30;0,40;25,70;
76;542;29,15;4713;17,55;0,30;82,16;341;34,00;21,86;7531;75,50;24,00;0,60;25,70;
77;537;31,24;4628;18,25;0,24;81,52;351;34,10;21,88;7498;75,50;23,90;0,60;25,70;
78;548;30,01;4631;17,82;0,27;81,91;309;34,00;22,03;7379;76,30;23,10;0,60;25,90;
79;495;29,72;4552;17,46;0,23;82,31;359;33,80;21,42;7624;74,60;24,80;0,60;25,20;
80;497;31,10;4464;18,40;0,19;81,41;364;34,30;22,07;7479;74,60;24,80;0,70;25,60;
81;494;30,77;4643;17,67;0,17;82,16;357;33,70;23,92;7502;73,50;25,90;0,60;24,80;
82;543;27,74;4609;15,85;0,18;83,97;326;35,00;21,99;7451;74,33;25,58;0,09;26,01;
83;541;29,88;4556;16,27;0,02;83,71;357;34,91;17,47;7491;74,02;25,78;0,20;25,84;
84;546;30,33;4573;16,31;0,03;83,66;337;34,99;25,71;7506;74,68;25,13;0,19;26,13;
85;445;31,19;4548;15,77;0,17;84,06;272;34,10;18,14;7340;73,70;25,90;0,40;25,11;
86;473;29,73;4676;16,17;0,19;83,64;268;33,50;22,47;7360;74,80;25,00;0,30;25,06;
87;449;32,28;4612;15,44;0,20;84,37;280;35,90;23,90;7370;73,40;26,30;0,30;26,36;
88;560;30,33;4746;18,26;0,15;81,59;427;34,70;18,85;7516;75,10;24,40;0,50;26,03;
89;575;30,09;4562;17,91;0,17;81,92;397;35,00;18,11;7458;74,10;25,40;0,50;25,91;
90;573;30,76;4723;17,44;0,14;82,42;380;34,00;20,37;7540;74,60;24,90;0,50;25,39;
91;538;28,43;4644;16,82;0,10;83,08;336;33,21;26,80;7488;73,32;25,93;0,75;24,35;
92;552;28,62;4576;15,76;0,07;84,17;339;32,98;19,20;7548;72,65;26,69;0,66;23,96;
93;544;30,33;4626;16,72;0,03;83,25;362;32,81;19,79;7582;72,82;26,50;0,67;23,89;
94;546;29,74;4724;16,27;0,04;83,69;387;33,70;26,09;7340;72,29;27,38;0,33;24,37;
